Unnamed: 0,"End node data, node id: 3239323278307a07, range: 2024-06-11 to 2024-06-11",Unnamed: 2,Unnamed: 3,Unnamed: 4,Processed
,,,,,Yes
,Date,Count,RSSI,SNR,Yes
,2024-06-11 06:27:36,,-108,2.5,Yes
,2024-06-11 11:33:06,1,-114,1,Yes
,2024-06-11 11:38:06,34,-114,-7.5,Yes
,2024-06-11 11:43:06,21,-107,-4.5,Yes
,2024-06-11 11:48:06,10,-115,-7,Yes
,2024-06-11 11:53:06,26,-115,1.8,Yes
,2024-06-11 11:58:06,28,-116,-8.5,Yes
,2024-06-11 12:03:06,20,-112,4,Yes
,2024-06-11 12:08:06,18,-114,1,Yes
,2024-06-11 12:13:06,10,-112,-5.8,Yes
,2024-06-11 12:18:06,4,-115,-3.2,Yes
,2024-06-11 12:23:06,14,-114,-1.2,Yes
,2024-06-11 12:28:06,14,-114,-3.2,Yes
,2024-06-11 12:33:06,21,-113,-11.5,Yes
,2024-06-11 12:38:06,2,-111,-5.8,Yes
,2024-06-11 12:43:06,0,-112,-10.2,Yes
,2024-06-11 12:48:06,0,-114,-6.8,Yes
,2024-06-11 12:53:06,0,-114,-6.8,Yes
,2024-06-11 12:58:06,0,-113,-11.8,Yes
,2024-06-11 13:12:18,1,-113,-2.5,Yes
,2024-06-11 13:17:17,4,-110,0.8,Yes
,2024-06-11 13:22:17,7,-112,4.2,Yes
,2024-06-11 13:27:18,20,-114,-4.8,Yes
,2024-06-11 13:32:17,0,-112,4.2,Yes
,2024-06-11 13:37:17,0,-110,-2.2,Yes
,2024-06-11 13:42:17,0,-114,-12,Yes
,2024-06-11 13:47:18,0,-110,-3.2,Yes
,2024-06-11 14:27:39,,-114,-8.8,Yes
,2024-06-11 14:53:32,1,-108,5,Yes
,2024-06-11 14:58:32,45,-114,3.5,Yes
,2024-06-11 15:03:32,27,-110,5,Yes
,2024-06-11 15:08:32,0,-109,0.5,Yes
,2024-06-11 15:13:32,0,-112,-3,Yes
,2024-06-11 15:18:32,17,-111,0.2,Yes
,2024-06-11 15:23:32,26,-110,1.8,Yes
,2024-06-11 15:28:32,21,-109,2.8,Yes
,2024-06-11 15:33:32,22,-108,2.8,Yes
,2024-06-11 15:38:32,22,-111,1.2,Yes
,2024-06-11 15:43:32,22,-109,4,Yes
,2024-06-11 15:48:32,24,-113,-0.2,Yes
,2024-06-11 15:53:32,15,-107,5.8,Yes
,2024-06-11 15:58:32,22,-110,-7.8,Yes
,2024-06-11 16:03:32,20,-115,-4,Yes
,2024-06-11 16:08:32,8,-109,7.2,Yes
,2024-06-11 16:13:32,23,-110,4,Yes
,2024-06-11 16:18:32,20,-111,-5.2,Yes
,2024-06-11 16:23:32,28,-114,-6.2,Yes
,2024-06-11 16:28:32,30,-115,-9.2,Yes
,2024-06-11 16:33:32,23,-114,2,Yes
,2024-06-11 16:38:32,26,-114,4.2,Yes
,2024-06-11 16:43:32,18,-116,-5.8,Yes
,2024-06-11 16:48:32,23,-108,-2,Yes
,2024-06-11 16:53:32,34,-108,6.2,Yes
,2024-06-11 16:58:32,33,-110,-4.2,Yes
,2024-06-11 17:03:32,15,-112,5.2,Yes
,2024-06-11 17:08:32,2,-112,-6.2,Yes
,2024-06-11 17:13:33,17,-115,1.5,Yes
,2024-06-11 17:18:35,22,-112,5.5,Yes
,2024-06-11 17:23:33,14,-111,-2,Yes
,2024-06-11 17:28:33,16,-112,-3,Yes
,2024-06-11 17:33:33,33,-115,-2.2,Yes
,2024-06-11 17:38:33,24,-113,-8.8,Yes
,2024-06-11 17:43:33,25,-112,4.8,Yes
,2024-06-11 17:48:33,30,-112,7,Yes
,2024-06-11 17:53:33,24,-116,-7.5,Yes
,2024-06-11 17:58:33,6,-110,3.2,Yes
,2024-06-11 18:03:33,22,-107,6,Yes
,2024-06-11 18:08:33,30,-108,3.2,Yes
,2024-06-11 18:13:33,22,-108,4.2,Yes
,2024-06-11 18:18:33,4,-109,2.5,Yes
,2024-06-11 18:23:33,0,-111,-0.8,Yes
,2024-06-11 18:28:33,0,-112,0,Yes
,2024-06-11 18:33:33,0,-111,0.2,Yes
,2024-06-11 18:38:33,0,-116,-10.2,Yes
,2024-06-11 22:27:42,,-116,-10.5,Yes
